InstrID,CountryCode,Identifier,Name,Exchange,Sector,SPDRIndx,MktCapType,FS_AsOfDate,FS_BVPS,FS_EPS,FS_DivRate,FS_GrowthGrade,FS_GrowthGradeYOY,Ratio_PE,Ratio_Beta,Ratio_PEG,Ratio_PEGY,Ratio_Current,Ratio_Quick,Ratio_DebtToFCF,Ratio_ROIC,Eval_ValuePrice_M,Eval_IRT_M,Eval_GrahamNumber,MktPrice_Date,MktPrice_Close,MktPrice_Change,MktPrice_Volume,MktPrice_VolumeAvg,MktPrice_52Wk_Lo,MktPrice_52Wk_Hi,MA10,MA10_ChangePcnt,MA30,MA30_ChangePcnt,MA50,MA50_ChangePcnt,MA150,MA150_ChangePcnt,MA200,MA200_ChangePcnt,RSI,RSI_ChangePcnt,SlowStoch_K,SlowStoch_D,SlowStoch_ChangePcnt,MACD,MACD_ChangePcnt,Jan_07_MktPrice_Close,Jan_07_MktPrice_Volume,Jan_14_MktPrice_Close,Jan_14_MktPrice_Volume
1490,US,VIA,Viacom Inc,NASDAQ,Technology,,Large,9/30/2015,7.21,4.73,1.6,0.2105,9.6389,9.3002,1.64,0.6047,0.489,1.2086,0.8596,5.6504,0.119,6.7962,9.0687,27.7006,12/31/2015,43.99,0.67,69500,62280,40.17,75.46,42.93,0.0009,47.25,-0.0062,48.74,-0.003,52.15,-0.003,56.25,-0.0022,48.87,0.2631,0.4391,0.313,0.35103,0.4922,0.1719,41.57,69100,43.65,35300
224696,US,VIAB,"Viacom, Inc.",NASDAQ,Conglomerates,XLY,Large,9/30/2015,7.21,4.73,1.6,24.5684,19.6111,8.5751,1.65,0.5575,0.4438,1.7747,1.3024,5.8766,0.119,24.4076,6.471,27.7006,12/31/2015,41.16,0.3,2724600,4028807,38.15,75.4,40.57,-0.0009,45.12,-0.0072,46.84,-0.0035,50.96,-0.0034,55.29,-0.0025,42.28,0.1168,0.4052,0.3072,0.24626,0.4742,0.0535,38.89,3638700,41.43,2589100
176259,US,VIPS,Vipshop Holdings Limited,NYSE,Technology,,Large,12/31/2014,0.61,0.37,NULL,84.6282,68.2179,41.2703,1.84,0.483,0.483,1.3018,0.5753,0.3997,0.1168,175.3691,7.0145,2.2535,12/31/2015,15.27,0.08,8074400,12972567,12.5,29.81,16.07,-0.0136,16.12,0.0057,17.31,-0.0041,19.17,-0.0034,21.38,-0.0025,31.84,0.0781,0.1112,0.3125,-0.18029,-0.1428,-0.1859,13.99,13511000,14.98,10953300
19333,US,VIVEF,Vivendi SA,OTC Markets,Technology,,Large,12/31/2014,17.57,3.03,2.24,4.3365,17.2927,7.0627,0.85,0.3225,0.2182,0.6944,0.065,2.7629,0.1738,3.7478,6.792,34.6097,12/31/2015,21.4,-0.1,2500,3840,20.81,27.59,21.27,0.0009,21.27,0,22.12,-0.0027,24.31,-0.0011,24.53,-0.0005,52.76,-0.0727,0.7362,0.8534,-0.12454,0.0955,-0.2278,20.8,6200,20.67,2300
1549,US,VIVO,"Meridian Bioscience, Inc.",NASDAQ,Healthcare,,Mid,9/30/2015,3.92,0.85,0.8,48.7425,51.5417,23.0706,1.06,3.0316,1.9735,8.0554,5.2231,0,0.2173,6.4674,15.1892,8.6585,12/31/2015,20.52,-0.48,348700,263707,16.38,21,20.41,0.0015,19.89,0.002,19.6,0.0024,18.69,0.0008,18.69,0.0002,56.13,-0.3053,0.8261,0.9027,-0.10119,0.0325,-0.5716,19.24,409300,18.72,218100
2848,US,VLGEA,Village Super Market Inc.,NASDAQ,Services,,Small,10/31/2015,17.86,2.2,1,10.5481,31.3248,11.9773,0.35,0.8204,0.6509,1.4133,0.7881,-7.2625,0.0853,10.175,9.2838,29.7333,12/31/2015,26.35,-0.19,28700,25330,23.61,34.35,26.48,0.0018,25.99,0.0003,25.78,0.0017,27.59,-0.0014,28.8,-0.0006,50.58,-0.0862,0.6181,0.7452,-0.06721,0.0223,-0.7254,25.01,28400,24.89,18800
10526,US,VLKAY,Volkswagen AG,OTC Markets,Consumer Goods,,Large,9/30/2015,46.42,2.77,1.09,25.0406,27.0769,10.8664,1.96,0.1854,0.1746,1.003,0.6203,-14.5486,0.0532,12.0048,8.7162,53.7878,12/31/2015,30.98,-0.19,107500,440133,23.07,52.45,31.04,0.0027,29.59,0.0067,28.38,0.0032,35.46,-0.0033,39.22,-0.0027,55.98,-0.0758,0.8209,0.9255,-0.09836,-0.0908,-1.8885,26.85,623400,27.8,332800
81,US,VLO,Valero Energy Corporation,NYSE,Basic Materials,XLE,Large,9/30/2015,39.97,9.51,2,37.735,39.0085,7.2461,1.31,0.3008,0.2685,1.6647,0.9847,3.4732,0.1368,59.6318,5.5022,92.4802,12/31/2015,70.71,-0.87,3173200,5326447,44.07,73.03,71.21,0.0007,71.04,0.0003,69.51,0.0031,64.87,0.0012,63.54,0.0007,48.34,-0.1383,0.7946,0.821,0.00495,0.0265,-0.7605,72.09,8984100,67.32,8568100
228861,US,VLP,Valero Energy Partners LP,NYSE,Utilities,,Mid,9/30/2015,10.08,1.82,1.23,30.156,52.1015,28.3571,NULL,0.1273,0.1259,33.0383,32.9406,-25.0544,0.0953,142.549,8.4425,20.3169,12/31/2015,51.61,2.49,194400,291667,38.36,52.7,50.11,0.0092,47.03,0.001,47.83,0.001,48.26,0.0001,48.81,-0.0001,63.85,0.2143,0.7354,0.7951,0.06789,0.265,0.2613,48.78,226000,46.39,147500
228472,US,VLRS,"Controladora Vuela Compa¤¡a de Aviaci¢n, S.A.B. de C.V.",NYSE,Industrial Goods,,Large,12/31/2014,2.58,0.14,NULL,35.6132,36.8066,122.5714,NULL,1.8541,1.8541,0.7736,0.569,-0.0368,0.1139,43.6612,11.7907,2.8508,12/31/2015,17.16,-0.01,121200,376303,8.75,18.96,17.7,-0.0064,17.74,0.0008,17.48,0.0001,14.96,0.0023,14.26,0.0019,38.87,-0.0048,0.5849,0.6537,-0.09533,-0.0853,-0.3667,16.29,167500,17.02,318100
2147,US,VMC,Vulcan Materials Company,NYSE,Industrial Goods,XLB,Large,9/30/2015,31.85,1.27,0.4,9.0598,16.844,74.7795,0.81,2.2436,2.2157,2.037,1.2279,56.5569,0.059,12.3662,26.9951,30.1681,12/31/2015,94.97,-0.62,689000,950253,64.98,105.52,95.6,-0.0027,98.78,-0.0022,98.1,0.0012,94.02,0.0004,92.08,0.0005,40.45,-0.0827,0.5173,0.5302,-0.06977,0.1876,-0.3408,88.3,1953200,85.31,2195300
1914,US,VMI,"Valmont Industries, Inc.",NYSE,Industrial Goods,,Mid,9/30/2015,54.05,4.67,1.5,39.5224,50.3194,22.7024,0.97,2.2657,1.9862,3.5068,2.4584,7.5725,0.1023,40.5561,13.4197,75.3612,12/31/2015,106.02,-0.36,156700,206450,96.45,127.27,105.7,0.0015,110.69,-0.0026,110.44,0.0016,110.87,-0.0011,114,-0.0008,42.74,-0.044,0.5962,0.5512,0.02153,0.4853,-0.1572,105.5,494100,100.7,219200
1419,US,VMW,"VMware, Inc.",NYSE,Technology,,Large,9/30/2015,17.3,2.21,NULL,79.2382,71.7393,25.6606,0.24,0.8172,0.8172,2.2848,0.973,0.8206,0.107,96.5438,8.9539,29.3299,12/31/2015,56.57,-0.46,1038200,1633200,55.42,86.22,56.91,-0.0024,58.54,-0.001,58.72,-0.0041,75.03,-0.0027,77.7,-0.0017,36.28,-0.1307,0.3048,0.3148,-0.03413,0.0528,-0.2382,54.52,2462400,52.33,1931900
3273,US,VNO,Vornado Realty Trust,NYSE,Financial,XLF,Large,9/30/2015,27.89,5.08,2.52,41.2233,25.625,19.6772,0.72,-1,-1,NULL,NULL,32.0737,0.078,34.0223,13.4176,56.4608,12/31/2015,99.96,-1.2,570500,690540,23.76,126,99.52,-0.0002,98.11,0.002,98.15,0.0001,95.38,0,98.06,-0.0005,55.09,-0.1902,0.8424,0.798,-0.0603,0.1859,-0.4493,98.27,1124600,92.54,805000
231418,US,VNOM,Viper Energy Partners LP,NASDAQ,Conglomerates,,Mid,9/30/2015,6.82,0.38,0.8,0,0,36.7368,NULL,3.67,0,11.7513,11.628,-2.6364,0.0836,13.8865,12.1727,7.6362,12/31/2015,13.96,0.09,47700,70193,14.41,20.79,14.35,-0.0093,14.91,-0.0025,15.31,-0.003,16.17,-0.0019,16.94,-0.0011,34.95,0.0983,0.2189,0.3807,-0.29745,-0.055,-0.0734,12.83,46000,14.59,58500
175420,US,VNTV,"Vantiv, Inc.",NYSE,Services,,Large,9/30/2015,4.48,0.99,NULL,72.3141,52.3429,47.899,0.71,1.2876,1.2876,1.261,1.0644,5.7779,0.0362,36.0865,13.5671,9.9896,12/31/2015,47.42,-0.13,989800,1836230,33.29,52.84,47.49,-0.0048,50.33,-0.0027,50.11,0.0003,45.27,0.0011,43.79,0.0011,30.47,-0.0463,0.2048,0.1925,-0.04706,0.0126,1.3942,46.39,1649200,45.02,2346600
